H3BO3,Solvent,other solvents,NoUnits
H3BO3,Density,1.435,g/cm^3
H3BO3,Appearance,White crystalline solid,NoUnits
H3BO3,BoilingPtC,300,C
H3BO3,pKa,9.24,NoUnits
H3BO3,MeltingPtC,170.9,C
I2Cl6,MolarMass,466.5281,g/mol
I2Cl6,Appearance,yellow solid,NoUnits
I2Cl6,Density,3.11,g/cm^3
NH4CN,MolarMass,44.0559,g/mol
NH4CN,SolubleOther,very soluble in alcohol,NoUnits
NH4CN,Appearance,colourless crystalline solid,NoUnits
NH4CN,Solubility,very soluble,NoUnits
NH4CN,Density,1.02,g/cm^3
BrF3,Solvent,sulfuric acid,NoUnits
BrF3,Density,2.803,g/cm^3 
BrF3,MolarMass,136.90,g/mol
BrF3,Appearance,coloured liquid ,NoUnits
BrF3,Solubility,decomposes violently,NoUnits
BrF3,BoilingPtC,125.72,C
BrF3,SolubleOther,very soluble,NoUnits
BrF3,MeltingPtC,8.77,C
VCl3,MolarMass,157.30,g/mol
VCl3,MeltingPtC,300,C
VCl3,Appearance,violet crystals ,NoUnits
VCl3,Solubility,soluble,NoUnits
VCl3,Density,3.0,g/cm^3 20 C
Na2ZnOH)4,MolarMass,179.418,g/mol
CuNO3)2,SolubleOther,hydrates very soluble in ethanol,NoUnits
CuNO3)2,BoilingPtC,170,C
CuNO3)2,Appearance,blue crystals ,NoUnits
CuNO3)2,MeltingPtC,256,C
NaClO2,DeltaHf,-307.0,kJ/mol
NaClO2,Density,2.468,g/cm^3
NaClO2,MolarMass,90.442,g/mol anhydrous 
NaClO2,Odor,odorless,NoUnits
NaClO2,Appearance,white solid,NoUnits
NaClO2,Solubility,75.8,g/100 mL 25 C 
NaClO2,pKa,10-11,NoUnits
NaClO2,MeltingPt,180200,C <BR /> trihydrate decomposes at 38 C
NaClO2,SolubleOther,slightly soluble in methanol,NoUnits
H4Si,Density,1.342,g dm^3
H4Si,Odor,repulsive,NoUnits
H4Si,Appearance,Colourless gas,NoUnits
H4Si,Solubility,Reacts slowly,NoUnits
H4Si,BoilingPtC,12,C
H4Si,Entropy,204.6,Jmol^1K^1
H4Si,VaporPressure,1,atm 20 C
H4Si,DeltaHf,3431kJmol,NoUnits
H4Si,MeltingPtC,85,C
AgClO3,Density,4.443,g/cm^3
AgClO3,MolarMass,191.319,g/mol
AgClO3,Appearance,white crystals,NoUnits
AgClO3,Solubility,slightly soluble,NoUnits
AgClO3,BoilingPtC,250,C
AgClO3,SolubleOther,soluble in water and ethanol alcohol,NoUnits
AgClO3,MeltingPtC,230,C
VCl2,Density,3.230,g/cm^3
VCl2,MolarMass,121.847,g/mol
VCl2,Appearance,pale green solid,NoUnits
VCl2,Solubility,soluble,NoUnits
VCl2,BoilingPtC,1506,C
VCl2,MeltingPtC,1027,C
NaClO3,DeltaHf,-365.4,kJ/mol
NaClO3,HeatCapacity,104.6,J/molK
NaClO3,RefractIndex,1.515,20 C
NaClO3,Odor,Odorless,NoUnits
NaClO3,Appearance,Colorless or white solid,NoUnits
NaClO3,DeltaGf,-275,kJ/mol
NaClO3,BoilingPtC,300-400,C
NaClO3,Solvent1,acetone,NoUnits
NaClO3,Solvent3,ethanol,NoUnits
NaClO3,Solvent2,glycerol,NoUnits
NaClO3,Solubility3,14.7,g/100 g
NaClO3,Solubility2,20,g/100 g 15.5 C
NaClO3,Solubility1,51.8,g/100 g
NaClO3,Entropy,129.7,J/molK
NaClO3,MeltingPtC,248-261,C
NaClO3,VaporPressure,0.35,mPa
PbS,DeltaHf,8.7,kJ/mol
PbS,"-11 kg/kg (calculated, at pH",7,NoUnits
PbS,HeatCapacity,46.02,J/degree mol
PbS,Density,7.60,g/cm^3
PbS,MolarMass,239.30,g/mol
PbS,Solubility,26e,NoUnits
PbS,BoilingPtC,1281,C
PbS,SolubilityProduct,9.04e,NoUnits
PbS,RefractIndex,3.91,NoUnits
PbS,Entropy,91.3,J/mol
PbS,location,Washington,NoUnits
PbS,MeltingPtC,1118,C
Ag2CrO4,MolarMass,331.73,g/mol
Ag2CrO4,Density,5.625,g/cm^3
Ag2CrO4,Appearance,red powder,NoUnits
Ag2CrO4,BoilingPtC,1550,C
Ag2CrO4,Entropy,217,Jmol^1K^1
Ag2CrO4,DeltaHf,12,kJmol^1
NaBrO3,DeltaHf,-342.5,kJ/mol
NaBrO3,Density,3.339,g/cm^3
NaBrO3,MolarMass,150.892,g/mol
NaBrO3,Odor,odorless,NoUnits
NaBrO3,Appearance,colorless or white solid,NoUnits
NaBrO3,BoilingPtC,1390,C
NaBrO3,DeltaGf,-252.6,kJ/mol
NaBrO3,Entropy,130.5,J/mol K
NaBrO3,RefractIndex,1.594,NoUnits
NaBrO3,SolubleOther,soluble in ammonia ,NoUnits
NaBrO3,MeltingPtC,381,C
SeS2,Density,3,g/cm3
SeS2,MolarMass,143.09,g/mol
SeS2,Odor,faint,NoUnits
SeS2,Appearance,orange to brown powder,NoUnits
SeS2,Solubility,negligible,NoUnits
SeS2,BoilingPtC,118,to 119 C
SeS2,pKa,2-6,NoUnits
SeS2,SolubleOther,soluble in ammonium monosulfide ,NoUnits
SeS2,MeltingPtC,111,C
KAlF4,MolarMass,142,NoUnits
KAlF4,Density,2.9,g/cm^3
KAlF4,Appearance,White solid,NoUnits
KAlF4,Solubility,2,g/L
KAlF4,MeltingPtC,600,C
FeNO3)3,Density,1.68,g/cm^3 hexahydrate 
FeNO3)3,MolarMass,241.86,g/mol anhydrous 
FeNO3)3,Appearance,Pale violet crystals ,NoUnits
FeNO3)3,Solubility,150,g/100 mL hexahydrate
FeNO3)3,BoilingPtC,125,C
FeNO3)3,SolubleOther,soluble in alcohol,NoUnits
FeNO3)3,MeltingPtC,47.2,C
SOCl2,DeltaHf,-245.6,kJ/mol liquid
SOCl2,RefractIndex,1.517,20 C
SOCl2,name,Thionyl chloride,NoUnits
SOCl2,HeatCapacity,121.0,kJ/mol liquid
SOCl2,Density,1.638,g/cm^3
SOCl2,MolarMass,118.97,g/mol
SOCl2,Appearance,clear,NoUnits
SOCl2,Odour,pungent and unpleasant,NoUnits
SOCl2,Solubility,reacts,NoUnits
SOCl2,BoilingPtC,74.6,C
SOCl2,location,Boca Raton,NoUnits
SOCl2,units,SIref,NoUnits
SOCl2,VaporPressure,Plainlist,NoUnits
SOCl2,Viscosity,0.6,Poise
SOCl2,Entropy,309.8,kJ/mol gas
SOCl2,MeltingPtC,04.5,C
H2CrO4,Density,1.201,g cm^3
H2CrO4,Appearance,Dark red crystals,NoUnits
H2CrO4,Solubility,169,g/100 mL
H2CrO4,BoilingPtC,250,C
H2CrO4,pKa,08 to 16,NoUnits
H2CrO4,MeltingPtC,197,C
BrCN,Density,2.015,g mL^1
BrCN,MolarMass,105.921,g mol^1
BrCN,Appearance,Colorless crystals,NoUnits
BrCN,Solubility,Reacts,NoUnits
BrCN,BoilingPtC,61,to 62 C
BrCN,VaporPressure,16.2,kPa
BrCN,DeltaHf,136.1144.7,kJ mol^1
BrCN,MeltingPtC,50,to 53 C
COF2,Density,2.698,g/L gas
COF2,MolarMass,66.01,g mol^1
COF2,Appearance,Colorless gas,NoUnits
COF2,Solubility,reacts violently with water,NoUnits
COF2,BoilingPtC,-84.57,C
COF2,VaporPressure,55.4,atm 20C
COF2,MeltingPtC,-111.26,C
Ag1Cl,DeltaHf,27,kJmol^1
Ag1Cl,Density,5.56,g cm^-3
Ag1Cl,Appearance,White Solid,NoUnits
Ag1Cl,Solubility,520,g/100 g at 50 C
Ag1Cl,BoilingPtC,1547,C
Ag1Cl,Entropy,96,Jmol^1K^1
Ag1Cl,RefractIndex,2.071,NoUnits
Ag1Cl,SolubleOther,soluble in ammonia,NoUnits
Ag1Cl,MeltingPtC,455,C
H2CO3,Density,1.668,g/cm^3
H2CO3,"HCO<sub>3</sub><sup>&minus;</sup><br /><small>(mol/L)</small>
!style",9em scope,NoUnits
H2CO3,"-
!style",9em scope,NoUnits
H2CO3,MolarMass,62.03,g/mol
H2CO3,Solubility,Exists only in solution,NoUnits
H2CO3,location,New York,NoUnits
H2CO3,scope,row,NoUnits
H2CO3,pmid,9478889,NoUnits
H2CO3,"pH
!style",9em scope,NoUnits
H2CO3,style,colorBBB,NoUnits
H2CO3,"H<sub>2</sub>CO<sub>3</sub><br /><small>(mol/L)</small>
!style",9em scope,NoUnits
H2CO3,"CO<sub>2</sub><br /><small>(mol/L)</small>
!style",9em scope,NoUnits
H2CO3,-style,colorAFF,NoUnits
H2CO3,"<math>p_\textCO_2</math><br /><small>(atm)</small>
!style",5em scope,NoUnits
Mo1O3,Density,4.69,g/cm^3
Mo1O3,Odor,odorless,NoUnits
Mo1O3,Appearance,yellow or light blue solid,NoUnits
Mo1O3,Solubility,0.1066,g/100 mL 18 C 
Mo1O3,BoilingPtC,1155,C
Mo1O3,Entropy,77.78,JK^1mol^1
Mo1O3,DeltaHf,45.17,kJ/mol
Mo1O3,MeltingPtC,795,C
CrO2,MolarMass,83.9949,g/mol
CrO2,MeltingPtC,375,C
CrO2,Appearance,black tetrahedral ferromagnetic crystals,NoUnits
CrO2,Solubility,Insoluble,NoUnits
CrO2,Density,4.89,g/cm^3
Ag2SO4,Solvent1,sulfuric acid,NoUnits
Ag2SO4,Solvent3,acetic acid,NoUnits
Ag2SO4,Solvent2,ethanol,NoUnits
Ag2SO4,MeltingPtC,652.2-660,C
Ag2SO4,BoilingPt_ref,,NoUnits
Ag2SO4,Odor,Odorless,NoUnits
Ag2SO4,BoilingPtC,1085,C
Ag2SO4,Entropy,200.4,kJ/mol
Ag2SO4,MagSus,.2910^5,cm^3/mol
Ag2SO4,Appearance,Colorless crystals,NoUnits
Ag2SO4,ethanol<ref name,chemister ,NoUnits
Ag2SO4,DeltaGf,18.4,J/molK
Ag2SO4,Solubility3,7.857,g/L 0.5 n<sub>AcOH/H<sub>2</sub>O</sub>
Ag2SO4,Solubility2,7.109,g/L 0.5 n<sub>EtOH/H<sub>2</sub>O</sub>
Ag2SO4,HeatCapacity,131.4,J/molK
Ag2SO4,SolubilityProduct,1.210^5,NoUnits
Ag2SO4,MeltingPt_ref,,NoUnits
Ag2SO4,place,New York,NoUnits
Ag2SO4,DeltaHf,15.9,kJ/mol
NaIO4,Density,3.865,g/cm^3 anhydrous 
NaIO4,MolarMass,213.8918,g/mol
NaIO4,Appearance,white crystals,NoUnits
NaIO4,Solubility,soluble,NoUnits
NaIO4,MeltingPt,convert,NoUnits
NaIO4,SolubleOther,soluble in acids,NoUnits
Cd3As2,MolarMass,487.08,g/mol
Cd3As2,MeltingPtC,716,C
Cd3As2,Appearance,solid,NoUnits
Cd3As2,Solubility,decomposes in water,NoUnits
Cd3As2,Density,3.031,NoUnits
H2PtCl6,MolarMass,409.81,g/mol
H2PtCl6,BoilingPt,decomposes,NoUnits
H2PtCl6,Appearance,Reddish brown solid,NoUnits
H2PtCl6,Solubility,highly soluble,NoUnits
H2PtCl6,Density,2.431,g/cm^3
H3NSO3,Density,2.15,g/cm^3
H3NSO3,MolarMass,97.10,g/mol
H3NSO3,pmc,ref,NoUnits
H3NSO3,Appearance,white crystals,NoUnits
H3NSO3,Solubility,Moderate,NoUnits
H3NSO3,pKa,1.0,NoUnits
H3NSO3,SolubleOther,Moderately soluble in Dimethylformamide,NoUnits
H3NSO3,MeltingPtC,205,C
MgClO4)2,Density,2.21,g/cm^3 anhydrous 
MgClO4)2,MolarMass,223.206,g/mol
MgClO4)2,Odor,odorless,NoUnits
MgClO4)2,BoilingPt,decomposition,NoUnits
MgClO4)2,Appearance,white powder,NoUnits
MgClO4)2,Solubility,99.3,g/100 mL
MgClO4)2,Solvent1,ethanol,NoUnits
MgClO4)2,Solubility1,23.96,g/100 mL
MgClO4)2,MeltingPtC,251,C
Pu1Cl3,BoilingPt_ref,,NoUnits
Pu1Cl3,MolarMass,350.322,g/mol
Pu1Cl3,Appearance,Green solid,NoUnits
Pu1Cl3,BoilingPtC,1767,C
Pu1Cl3,MeltingPt_ref,,NoUnits
Pu1Cl3,MeltingPtC,767,C
H6O6Te,Density,3.07,g/cm^3
H6O6Te,MolarMass,229.64,g/mol
H6O6Te,Appearance,White monoclinic crystals,NoUnits
H6O6Te,Solubility,50.1,g/100 ml at 30 C
H6O6Te,pKa,7.68,NoUnits
H6O6Te,MeltingPtC,136,C
